instr_resp.keys,instr_resp.rt,prac_resp.keys,prac_resp.corr,prac_1.thisRepN,prac_1.thisTrialN,prac_1.thisN,prac_1.thisIndex,prac_1.ran,prac_1.order,imageFile,posX,posY,corrAns,*Participant ID ,date,expName,psychopyVersion,frameRate,prac_resp.rt,instr_resp2.keys,instr_resp2.rt,prac_resp2.keys,prac_resp2.corr,prac_2.thisRepN,prac_2.thisTrialN,prac_2.thisN,prac_2.thisIndex,prac_2.ran,prac_2.order,prac_resp2.rt,pover_resp.keys,pover_resp.rt,earlyresp.keys,earlyresp.rt,resp.keys,resp.corr,Groups.thisRepN,Groups.thisTrialN,Groups.thisN,Groups.thisIndex,Groups.ran,Groups.order,countgroups,masterBlock.thisRepN,masterBlock.thisTrialN,masterBlock.thisN,masterBlock.thisIndex,masterBlock.ran,masterBlock.order,masterFile,Block1.thisRepN,Block1.thisTrialN,Block1.thisN,Block1.thisIndex,Block1.ran,Block1.order,condFile,instr,StopSide.thisRepN,StopSide.thisTrialN,StopSide.thisN,StopSide.thisIndex,StopSide.ran,StopSide.order,resp.rt
return,9.114,,0,1,0,8,0,1,7,square.jpg,0,0,m,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,1,0,8,3,1,7,square.jpg,0.1,0,none,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,1,0,8,6,1,7,circle.jpg,0,0,c,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,1,0,8,2,1,7,square.jpg,0,0,m,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,1,0,8,1,1,7,square.jpg,0,0,m,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,c,1,1,0,8,7,1,7,circle.jpg,-0.1,0,c,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,1,0,8,5,1,7,circle.jpg,0,0,c,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,1,0,8,4,1,7,circle.jpg,0,0,c,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,square.jpg,0,0,m,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,space,22.961,,0,1,0,8,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,circle.jpg,0,0,c,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,0,1,0,8,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,circle.jpg,-0.1,0,none,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,1,1,0,8,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,circle.jpg,0,0,c,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,0,1,0,8,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,square.jpg,0.1,0,m,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,0,1,0,8,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,square.jpg,0,0,m,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,0,1,0,8,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,circle.jpg,0,0,c,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,c,1,1,0,8,4,1,7,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,square.jpg,0,0,m,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,0,1,0,8,0,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,circle.jpg,0,0,c,024,2019-06-09_17h27.54.339,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,space,6.673,c,0.41,,0,1,0,2,1,1,1,conditionsMaster2.csv,1,0,3,0,1,2,conditionsFile2.csv,1,0,1,0,1,0,conditions2.csv,"If you see a circle: 
respond with the letter  C   only if the triangle is in the middle. 

DO NOT press anything if the triangle is positioned on the left.
 

If you see a square:
Always respond with the letter  M   
",1,0,80,60,1,79,
