instr_resp.keys,instr_resp.rt,prac_resp.keys,prac_resp.corr,prac_1.thisRepN,prac_1.thisTrialN,prac_1.thisN,prac_1.thisIndex,prac_1.ran,prac_1.order,imageFile,posX,posY,corrAns,*Participant ID ,date,expName,psychopyVersion,frameRate,prac_resp.rt,instr_resp2.keys,instr_resp2.rt,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_2.thisRepN,prac_2.thisTrialN,prac_2.thisN,prac_2.thisIndex,prac_2.ran,prac_2.order,pover_resp.keys,pover_resp.rt,earlyresp.keys,resp.keys,resp.corr,resp.rt,Groups.thisRepN,Groups.thisTrialN,Groups.thisN,Groups.thisIndex,Groups.ran,Groups.order,countgroups,masterBlock.thisRepN,masterBlock.thisTrialN,masterBlock.thisN,masterBlock.thisIndex,masterBlock.ran,masterBlock.order,masterFile,Block1.thisRepN,Block1.thisTrialN,Block1.thisN,Block1.thisIndex,Block1.ran,Block1.order,condFile,instr,StopSide.thisRepN,StopSide.thisTrialN,StopSide.thisN,StopSide.thisIndex,StopSide.ran,StopSide.order,earlyresp.rt
space,16.269,,1,1,0,8,3,1,7,square.jpg,0.1,0,none,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m,1,1,0,8,1,1,7,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m,1,1,0,8,2,1,7,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,c,1,1,0,8,5,1,7,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,1,0,8,7,1,7,circle.jpg,-0.1,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,c,1,1,0,8,4,1,7,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,c,1,1,0,8,6,1,7,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,0.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m,1,1,0,8,0,1,7,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,circle.jpg,0,0,c,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,m,22.285,c,1,0.432,1,0,8,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,square.jpg,0,0,m,0104,2019-06-11_15h42.28.444,Primed GoNogo,3.0.4,60,,,,m,1,0.311,1,0,8,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
